WITH REDUCED BATCH SIZE 


2024/08/09 22:52:57.859, 4 MiB, 81920 MiB
2024/08/09 22:53:01.365, 4 MiB, 81920 MiB
2024/08/09 22:53:04.062, 4 MiB, 81920 MiB
2024/08/09 22:53:17.272, 4 MiB, 81920 MiB
2024/08/09 22:53:20.467, 4 MiB, 81920 MiB
2024/08/09 22:53:24.481, 4 MiB, 81920 MiB
2024/08/09 22:53:38.904, 4 MiB, 81920 MiB
2024/08/09 22:53:42.424, 4 MiB, 81920 MiB
2024/08/09 22:53:44.288, 4 MiB, 81920 MiB
2024/08/09 22:53:48.947, 4 MiB, 81920 MiB
2024/08/09 22:54:03.557, 4 MiB, 81920 MiB
2024/08/09 22:54:05.216, 4 MiB, 81920 MiB
2024/08/09 22:54:09.229, 4 MiB, 81920 MiB
2024/08/09 22:54:24.727, 4 MiB, 81920 MiB
2024/08/09 22:54:26.195, 4 MiB, 81920 MiB
2024/08/09 22:54:27.674, 4 MiB, 81920 MiB
2024/08/09 22:54:35.468, 4 MiB, 81920 MiB
2024/08/09 22:54:47.181, 4 MiB, 81920 MiB
2024/08/09 22:54:51.045, 4 MiB, 81920 MiB
2024/08/09 22:55:08.143, 4 MiB, 81920 MiB
2024/08/09 22:55:10.875, 4 MiB, 81920 MiB
2024/08/09 22:55:21.197, 4 MiB, 81920 MiB
2024/08/09 22:55:30.648, 4 MiB, 81920 MiB
2024/08/09 22:55:46.904, 4 MiB, 81920 MiB
2024/08/09 22:55:59.865, 4 MiB, 81920 MiB
2024/08/09 22:56:07.836, 4 MiB, 81920 MiB
2024/08/09 22:56:12.139, 4 MiB, 81920 MiB
2024/08/09 22:56:24.234, 4 MiB, 81920 MiB
2024/08/09 22:56:28.801, 4 MiB, 81920 MiB
2024/08/09 22:56:30.370, 4 MiB, 81920 MiB
2024/08/09 22:56:33.893, 4 MiB, 81920 MiB
2024/08/09 22:56:42.529, 4 MiB, 81920 MiB
2024/08/09 22:56:49.317, 4 MiB, 81920 MiB
2024/08/09 22:56:53.437, 4 MiB, 81920 MiB
2024/08/09 22:56:59.230, 4 MiB, 81920 MiB
2024/08/09 22:57:10.546, 4 MiB, 81920 MiB
2024/08/09 22:57:12.190, 4 MiB, 81920 MiB
2024/08/09 22:57:17.699, 4 MiB, 81920 MiB
2024/08/09 22:57:31.120, 4 MiB, 81920 MiB
2024/08/09 22:57:34.958, 4 MiB, 81920 MiB
2024/08/09 22:57:49.993, 4 MiB, 81920 MiB
2024/08/09 22:57:55.133, 4 MiB, 81920 MiB
2024/08/09 22:58:03.564, 4 MiB, 81920 MiB
2024/08/09 22:58:12.637, 4 MiB, 81920 MiB
2024/08/09 22:58:14.086, 4 MiB, 81920 MiB
2024/08/09 22:58:17.770, 4 MiB, 81920 MiB
2024/08/09 22:58:27.743, 4 MiB, 81920 MiB
2024/08/09 22:58:34.886, 4 MiB, 81920 MiB
2024/08/09 22:58:36.674, 4 MiB, 81920 MiB
2024/08/09 22:58:42.122, 4 MiB, 81920 MiB
2024/08/09 22:58:52.562, 4 MiB, 81920 MiB
2024/08/09 22:58:57.833, 4 MiB, 81920 MiB
2024/08/09 22:59:00.433, 4 MiB, 81920 MiB
2024/08/09 22:59:12.777, 4 MiB, 81920 MiB
2024/08/09 22:59:20.103, 4 MiB, 81920 MiB
2024/08/09 22:59:24.053, 4 MiB, 81920 MiB
2024/08/09 22:59:34.647, 4 MiB, 81920 MiB
2024/08/09 22:59:39.616, 4 MiB, 81920 MiB
2024/08/09 22:59:42.551, 4 MiB, 81920 MiB
2024/08/09 22:59:48.212, 4 MiB, 81920 MiB
2024/08/09 22:59:59.891, 4 MiB, 81920 MiB
2024/08/09 23:00:02.521, 4 MiB, 81920 MiB
2024/08/09 23:00:07.883, 4 MiB, 81920 MiB
2024/08/09 23:00:21.374, 4 MiB, 81920 MiB
2024/08/09 23:00:24.217, 4 MiB, 81920 MiB
2024/08/09 23:00:39.180, 4 MiB, 81920 MiB
2024/08/09 23:00:42.535, 4 MiB, 81920 MiB
2024/08/09 23:00:52.277, 4 MiB, 81920 MiB
2024/08/09 23:00:55.071, 4 MiB, 81920 MiB
2024/08/09 23:01:01.835, 4 MiB, 81920 MiB
2024/08/09 23:01:11.911, 4 MiB, 81920 MiB
2024/08/09 23:01:13.258, 4 MiB, 81920 MiB
2024/08/09 23:01:18.018, 4 MiB, 81920 MiB
2024/08/09 23:01:25.897, 4 MiB, 81920 MiB
2024/08/09 23:01:29.659, 4 MiB, 81920 MiB
2024/08/09 23:01:33.311, 4 MiB, 81920 MiB
2024/08/09 23:01:36.947, 4 MiB, 81920 MiB
2024/08/09 23:01:44.831, 4 MiB, 81920 MiB
2024/08/09 23:01:49.339, 4 MiB, 81920 MiB
2024/08/09 23:01:50.819, 4 MiB, 81920 MiB
2024/08/09 23:01:54.164, 4 MiB, 81920 MiB
2024/08/09 23:02:01.772, 4 MiB, 81920 MiB
2024/08/09 23:02:08.936, 4 MiB, 81920 MiB
2024/08/09 23:02:11.528, 4 MiB, 81920 MiB
2024/08/09 23:02:16.641, 4 MiB, 81920 MiB
2024/08/09 23:02:26.400, 4 MiB, 81920 MiB
2024/08/09 23:02:29.419, 4 MiB, 81920 MiB
2024/08/09 23:02:42.740, 4 MiB, 81920 MiB
2024/08/09 23:02:45.513, 4 MiB, 81920 MiB
2024/08/09 23:02:46.990, 4 MiB, 81920 MiB
2024/08/09 23:02:49.800, 4 MiB, 81920 MiB
2024/08/09 23:03:01.665, 4 MiB, 81920 MiB
2024/08/09 23:03:05.616, 4 MiB, 81920 MiB
2024/08/09 23:03:08.495, 4 MiB, 81920 MiB
2024/08/09 23:03:23.796, 4 MiB, 81920 MiB
2024/08/09 23:03:26.715, 4 MiB, 81920 MiB
2024/08/09 23:03:32.814, 4 MiB, 81920 MiB
2024/08/09 23:03:39.891, 4 MiB, 81920 MiB
2024/08/09 23:03:44.559, 4 MiB, 81920 MiB
2024/08/09 23:03:48.399, 4 MiB, 81920 MiB
2024/08/09 23:03:56.401, 4 MiB, 81920 MiB
2024/08/09 23:04:03.132, 4 MiB, 81920 MiB
2024/08/09 23:04:06.509, 4 MiB, 81920 MiB
2024/08/09 23:04:10.583, 4 MiB, 81920 MiB
2024/08/09 23:04:19.516, 4 MiB, 81920 MiB
2024/08/09 23:04:25.118, 4 MiB, 81920 MiB
2024/08/09 23:04:26.692, 4 MiB, 81920 MiB
2024/08/09 23:04:39.643, 4 MiB, 81920 MiB
2024/08/09 23:04:45.169, 4 MiB, 81920 MiB
2024/08/09 23:04:48.658, 4 MiB, 81920 MiB
2024/08/09 23:05:04.175, 4 MiB, 81920 MiB
2024/08/09 23:05:06.081, 4 MiB, 81920 MiB
2024/08/09 23:05:11.678, 4 MiB, 81920 MiB
2024/08/09 23:05:23.153, 4 MiB, 81920 MiB
2024/08/09 23:05:26.782, 4 MiB, 81920 MiB
2024/08/09 23:05:32.564, 4 MiB, 81920 MiB
2024/08/09 23:05:42.557, 4 MiB, 81920 MiB
2024/08/09 23:05:46.691, 4 MiB, 81920 MiB
2024/08/09 23:05:49.474, 4 MiB, 81920 MiB
2024/08/09 23:05:55.373, 4 MiB, 81920 MiB
2024/08/09 23:06:03.765, 4 MiB, 81920 MiB
2024/08/09 23:06:09.401, 4 MiB, 81920 MiB
2024/08/09 23:06:15.589, 4 MiB, 81920 MiB
2024/08/09 23:06:25.704, 4 MiB, 81920 MiB
2024/08/09 23:06:30.023, 4 MiB, 81920 MiB
2024/08/09 23:06:34.694, 4 MiB, 81920 MiB
2024/08/09 23:06:45.338, 4 MiB, 81920 MiB
2024/08/09 23:06:50.021, 4 MiB, 81920 MiB
2024/08/09 23:06:52.946, 4 MiB, 81920 MiB
2024/08/09 23:07:05.313, 4 MiB, 81920 MiB
2024/08/09 23:07:12.095, 4 MiB, 81920 MiB
2024/08/09 23:07:19.779, 4 MiB, 81920 MiB
2024/08/09 23:07:32.972, 4 MiB, 81920 MiB
2024/08/09 23:07:39.330, 4 MiB, 81920 MiB
2024/08/09 23:07:47.265, 4 MiB, 81920 MiB
2024/08/09 23:07:48.573, 4 MiB, 81920 MiB
2024/08/09 23:07:55.614, 4 MiB, 81920 MiB
2024/08/09 23:08:08.798, 4 MiB, 81920 MiB
2024/08/09 23:08:13.086, 4 MiB, 81920 MiB
2024/08/09 23:08:27.886, 4 MiB, 81920 MiB
2024/08/09 23:08:30.593, 4 MiB, 81920 MiB
2024/08/09 23:08:34.580, 4 MiB, 81920 MiB
2024/08/09 23:08:44.476, 4 MiB, 81920 MiB
2024/08/09 23:08:49.145, 4 MiB, 81920 MiB
2024/08/09 23:08:52.598, 4 MiB, 81920 MiB
2024/08/09 23:09:04.671, 4 MiB, 81920 MiB
2024/08/09 23:09:10.073, 4 MiB, 81920 MiB
2024/08/09 23:09:23.715, 4 MiB, 81920 MiB
2024/08/09 23:09:26.563, 4 MiB, 81920 MiB
2024/08/09 23:09:29.166, 4 MiB, 81920 MiB
2024/08/09 23:09:36.303, 4 MiB, 81920 MiB
2024/08/09 23:09:44.717, 4 MiB, 81920 MiB
2024/08/09 23:09:46.746, 4 MiB, 81920 MiB
2024/08/09 23:09:58.002, 4 MiB, 81920 MiB
2024/08/09 23:10:04.982, 4 MiB, 81920 MiB
2024/08/09 23:10:10.104, 4 MiB, 81920 MiB
2024/08/09 23:10:23.265, 4 MiB, 81920 MiB
2024/08/09 23:10:27.888, 4 MiB, 81920 MiB
2024/08/09 23:10:41.399, 4 MiB, 81920 MiB
2024/08/09 23:10:44.770, 4 MiB, 81920 MiB
2024/08/09 23:10:56.598, 4 MiB, 81920 MiB
2024/08/09 23:10:58.079, 4 MiB, 81920 MiB
2024/08/09 23:11:01.815, 4 MiB, 81920 MiB
2024/08/09 23:11:06.672, 4 MiB, 81920 MiB
2024/08/09 23:11:12.437, 4 MiB, 81920 MiB
2024/08/09 23:11:18.573, 4 MiB, 81920 MiB
2024/08/09 23:11:21.856, 4 MiB, 81920 MiB
2024/08/09 23:11:27.513, 4 MiB, 81920 MiB
2024/08/09 23:11:37.500, 4 MiB, 81920 MiB
2024/08/09 23:11:40.174, 4 MiB, 81920 MiB
2024/08/09 23:11:44.824, 4 MiB, 81920 MiB
2024/08/09 23:11:53.918, 4 MiB, 81920 MiB
2024/08/09 23:11:57.487, 4 MiB, 81920 MiB
2024/08/09 23:11:59.928, 4 MiB, 81920 MiB
2024/08/09 23:12:04.853, 4 MiB, 81920 MiB
2024/08/09 23:12:14.915, 4 MiB, 81920 MiB
2024/08/09 23:12:17.506, 4 MiB, 81920 MiB
2024/08/09 23:12:20.016, 4 MiB, 81920 MiB
2024/08/09 23:12:31.190, 4 MiB, 81920 MiB
2024/08/09 23:12:36.047, 4 MiB, 81920 MiB
2024/08/09 23:12:38.550, 4 MiB, 81920 MiB
2024/08/09 23:12:43.574, 4 MiB, 81920 MiB
2024/08/09 23:12:55.771, 4 MiB, 81920 MiB
2024/08/09 23:12:58.195, 4 MiB, 81920 MiB
2024/08/09 23:13:05.268, 4 MiB, 81920 MiB
2024/08/09 23:13:12.835, 4 MiB, 81920 MiB
2024/08/09 23:13:16.731, 4 MiB, 81920 MiB
2024/08/09 23:13:18.012, 4 MiB, 81920 MiB
2024/08/09 23:13:23.111, 4 MiB, 81920 MiB
2024/08/09 23:13:31.918, 4 MiB, 81920 MiB
2024/08/09 23:13:36.659, 4 MiB, 81920 MiB
2024/08/09 23:13:38.168, 4 MiB, 81920 MiB
2024/08/09 23:13:41.989, 4 MiB, 81920 MiB
2024/08/09 23:13:51.348, 4 MiB, 81920 MiB
2024/08/09 23:13:55.541, 4 MiB, 81920 MiB
2024/08/09 23:13:58.238, 4 MiB, 81920 MiB
2024/08/09 23:14:02.321, 4 MiB, 81920 MiB
2024/08/09 23:14:09.276, 4 MiB, 81920 MiB
2024/08/09 23:14:15.283, 4 MiB, 81920 MiB
2024/08/09 23:14:18.166, 4 MiB, 81920 MiB
2024/08/09 23:14:24.391, 4 MiB, 81920 MiB
2024/08/09 23:14:31.756, 4 MiB, 81920 MiB
2024/08/09 23:14:36.673, 4 MiB, 81920 MiB
2024/08/09 23:14:42.221, 4 MiB, 81920 MiB
2024/08/09 23:14:45.788, 4 MiB, 81920 MiB
2024/08/09 23:14:54.496, 4 MiB, 81920 MiB
2024/08/09 23:14:57.317, 4 MiB, 81920 MiB
2024/08/09 23:15:01.262, 4 MiB, 81920 MiB
2024/08/09 23:15:10.575, 4 MiB, 81920 MiB
2024/08/09 23:15:15.374, 4 MiB, 81920 MiB
2024/08/09 23:15:16.914, 4 MiB, 81920 MiB
2024/08/09 23:15:19.116, 4 MiB, 81920 MiB
2024/08/09 23:15:30.176, 4 MiB, 81920 MiB
2024/08/09 23:15:34.967, 4 MiB, 81920 MiB
2024/08/09 23:15:36.568, 4 MiB, 81920 MiB
2024/08/09 23:15:40.288, 4 MiB, 81920 MiB
2024/08/09 23:15:54.358, 4 MiB, 81920 MiB
2024/08/09 23:15:56.331, 4 MiB, 81920 MiB
2024/08/09 23:15:59.570, 4 MiB, 81920 MiB
2024/08/09 23:16:11.293, 4 MiB, 81920 MiB
2024/08/09 23:16:14.837, 4 MiB, 81920 MiB
2024/08/09 23:16:16.308, 4 MiB, 81920 MiB
2024/08/09 23:16:21.891, 4 MiB, 81920 MiB
2024/08/09 23:16:29.173, 4 MiB, 81920 MiB
2024/08/09 23:16:34.353, 4 MiB, 81920 MiB
2024/08/09 23:16:35.761, 4 MiB, 81920 MiB
2024/08/09 23:16:46.328, 4 MiB, 81920 MiB
2024/08/09 23:16:52.722, 4 MiB, 81920 MiB
2024/08/09 23:16:54.364, 4 MiB, 81920 MiB
2024/08/09 23:16:55.772, 4 MiB, 81920 MiB
2024/08/09 23:17:05.777, 4 MiB, 81920 MiB
2024/08/09 23:17:13.230, 4 MiB, 81920 MiB
2024/08/09 23:17:15.452, 4 MiB, 81920 MiB
2024/08/09 23:17:18.718, 4 MiB, 81920 MiB
2024/08/09 23:17:23.046, 4 MiB, 81920 MiB
2024/08/09 23:17:34.907, 4 MiB, 81920 MiB
2024/08/09 23:17:36.174, 4 MiB, 81920 MiB
2024/08/09 23:17:44.566, 4 MiB, 81920 MiB
2024/08/09 23:17:52.766, 4 MiB, 81920 MiB
2024/08/09 23:17:56.510, 4 MiB, 81920 MiB
2024/08/09 23:17:58.038, 4 MiB, 81920 MiB
2024/08/09 23:18:10.506, 4 MiB, 81920 MiB
2024/08/09 23:18:16.531, 4 MiB, 81920 MiB
2024/08/09 23:18:30.232, 4 MiB, 81920 MiB
2024/08/09 23:18:34.378, 4 MiB, 81920 MiB
2024/08/09 23:18:47.433, 4 MiB, 81920 MiB
2024/08/09 23:18:53.373, 4 MiB, 81920 MiB
2024/08/09 23:19:05.417, 4 MiB, 81920 MiB
2024/08/09 23:19:12.699, 4 MiB, 81920 MiB
2024/08/09 23:19:14.890, 4 MiB, 81920 MiB
2024/08/09 23:19:32.134, 4 MiB, 81920 MiB
2024/08/09 23:19:34.074, 4 MiB, 81920 MiB
2024/08/09 23:19:36.281, 4 MiB, 81920 MiB
2024/08/09 23:19:50.863, 4 MiB, 81920 MiB
2024/08/09 23:19:52.429, 4 MiB, 81920 MiB
2024/08/09 23:19:58.928, 4 MiB, 81920 MiB
2024/08/09 23:20:09.894, 4 MiB, 81920 MiB
2024/08/09 23:20:13.030, 4 MiB, 81920 MiB
2024/08/09 23:20:24.454, 4 MiB, 81920 MiB
2024/08/09 23:20:27.792, 4 MiB, 81920 MiB
2024/08/09 23:20:29.229, 4 MiB, 81920 MiB
2024/08/09 23:20:31.792, 4 MiB, 81920 MiB
2024/08/09 23:20:41.279, 4 MiB, 81920 MiB
2024/08/09 23:20:47.717, 4 MiB, 81920 MiB
2024/08/09 23:20:50.333, 4 MiB, 81920 MiB
2024/08/09 23:20:51.678, 4 MiB, 81920 MiB
2024/08/09 23:21:00.227, 4 MiB, 81920 MiB
2024/08/09 23:21:09.379, 4 MiB, 81920 MiB
2024/08/09 23:21:12.284, 4 MiB, 81920 MiB
2024/08/09 23:21:22.329, 4 MiB, 81920 MiB
2024/08/09 23:21:28.078, 4 MiB, 81920 MiB
2024/08/09 23:21:29.978, 4 MiB, 81920 MiB
2024/08/09 23:21:33.300, 4 MiB, 81920 MiB
2024/08/09 23:21:46.406, 4 MiB, 81920 MiB
2024/08/09 23:21:47.787, 4 MiB, 81920 MiB
2024/08/09 23:21:50.790, 4 MiB, 81920 MiB
2024/08/09 23:22:02.519, 4 MiB, 81920 MiB
