://github.com/corent1234/hairy-ball-theorem-lean
2024-09-18 07:09:09.313 | INFO     | generate_benchmark_lean4:export_proofs:202 - 1437 theorems and 2195 tactics saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/random/test.json
2024-09-18 07:09:16.107 | INFO     | generate_benchmark_lean4:export_proofs:202 - 68997 theorems and 102534 tactics saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/novel_premises/train.json
2024-09-18 07:09:16.587 | INFO     | generate_benchmark_lean4:export_proofs:202 - 1437 theorems and 5165 tactics saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/novel_premises/val.json
2024-09-18 07:09:16.953 | INFO     | generate_benchmark_lean4:export_proofs:202 - 1437 theorems and 5333 tactics saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/novel_premises/test.json
2024-09-18 07:09:16.954 | INFO     | generate_benchmark_lean4:export_proofs:206 - 143742 theorems saved in total
2024-09-18 07:09:16.957 | INFO     | generate_benchmark_lean4:export_data:323 - Successfully exported the proofs
2024-09-18 07:09:24.680 | INFO     | generate_benchmark_lean4:export_premises:229 - 129818 theorems/definitions from 2717 files saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/corpus.jsonl
2024-09-18 07:09:24.699 | INFO     | generate_benchmark_lean4:export_data:327 - Successfully exported the premises
2024-09-18 07:09:24.707 | INFO     | generate_benchmark_lean4:export_data:335 - Successfully exported the metadata
2024-09-18 07:09:24.707 | INFO     | generate_benchmark_lean4:main:404 - Successfully exported the data
2024-09-18 07:09:24.744 | INFO     | __main__:add_repo_to_database:1323 - Finished generating benchmark at /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6
100%|___________________________________________________________| 1437/1437 [00:00<00:00, 101365.87it/s]
100%|___________________________________________________________| 1437/1437 [00:00<00:00, 107553.93it/s]
